Study name,Comparison,Outcome,Time point,Std diff in means                                                                          ,Group-A Sample size ,Group-B Sample size ,Effect direction,Hedges's g,Std Err,treated,age,dose,random/nonr,learning status,outcome test ,pretest pattern control group,type of training,sample age control group,sample age training group,Participants,training dose,program,gray,follow up test,design
"Dahlin,  et al.  2008 comp 1",comparison 1,verbal working memory1,follow up,-0.0114,11,7,1,-0.0109,0.4605,untreated,adults,large,r,u,digit span backward ,Blank,other,24.09,23.67,Students at umeå university and healthy older adults recruited to newspaper ads.,15 45 min sessions over a period of 5 weeks,"adapted program training numbers, letters, colors and spatial locations",published,18 months after training completion,"pre-post test controlgroup, randomized"
"Dahlin,  et al.  2008 comp 1",comparison 1,verbal working memory1,posttest,-0.1368,15,11,1,-0.1325,0.3849,untreated,adults,large,r,u,digit span backward ,Blank,other,24.09,23.67,Students at umeå university and healthy older adults recruited to newspaper ads.,15 45 min sessions over a period of 5 weeks,"adapted program training numbers, letters, colors and spatial locations",published,18 months after training completion,"pre-post test controlgroup, randomized"
"Dahlin,  et al.  2008 comp 1",comparison 1,verbal working memory2,follow up,0.6029,11,7,1,0.5742,0.4703,untreated,adults,large,r,u,3-back ,Blank,other,24.09,23.67,Students at umeå university and healthy older adults recruited to newspaper ads.,15 45 min sessions over a period of 5 weeks,"adapted program training numbers, letters, colors and spatial locations",published,18 months after training completion,"pre-post test controlgroup, randomized"
"Dahlin,  et al.  2008 comp 1",comparison 1,verbal working memory2,posttest,0.5206,15,11,1,0.5042,0.3907,untreated,adults,large,r,u,3-back ,Blank,other,24.09,23.67,Students at umeå university and healthy older adults recruited to newspaper ads.,15 45 min sessions over a period of 5 weeks,"adapted program training numbers, letters, colors and spatial locations",published,18 months after training completion,"pre-post test controlgroup, randomized"
"Dahlin,  et al.  2008 comp 1",comparison 1,verbal working memory3,follow up,0.2031,11,7,1,0.1935,0.4616,untreated,adults,large,r,u,computation span ,Blank,other,24.09,23.67,Students at umeå university and healthy older adults recruited to newspaper ads.,15 45 min sessions over a period of 5 weeks,"adapted program training numbers, letters, colors and spatial locations",published,18 months after training completion,"pre-post test controlgroup, randomized"
"Dahlin,  et al.  2008 comp 1",comparison 1,verbal working memory3,posttest,-0.4307,15,11,1,-0.4171,0.3887,untreated,adults,large,r,u,computation span ,Blank,other,24.09,23.67,Students at umeå university and healthy older adults recruited to newspaper ads.,15 45 min sessions over a period of 5 weeks,"adapted program training numbers, letters, colors and spatial locations",published,18 months after training completion,"pre-post test controlgroup, randomized"
"Dahlin, et al.  2008 comp 2",comparison 2,crit,follow up,1.6600,13,7,1,1.5899,0.5146,untreated,older adults,large,r,u,Letter working memory task from Miyake et al. 2000,Blank,other,68.25,68.38,Students at umeå university and healthy older adults recruited to newspaper ads.,15 45 min sessions over a period of 5 weeks,"adapted program training numbers, letters, colors and spatial locations",published,18 months after training completion,"pre-post test controlgroup, randomized"
"Dahlin, et al.  2008 comp 2",comparison 2,crit,posttest,1.1500,13,16,1,1.1178,0.3915,untreated,older adults,large,r,u,Letter working memory task from Miyake et al. 2000,Blank,other,68.25,68.38,Students at umeå university and healthy older adults recruited to newspaper ads.,15 45 min sessions over a period of 5 weeks,"adapted program training numbers, letters, colors and spatial locations",published,18 months after training completion,"pre-post test controlgroup, randomized"
"Dahlin, et al.  2008 comp 2",comparison 2,nRaven advanced progressive  matrices,follow up,0.2900,13,7,1,0.2777,0.4511,untreated,older adults,large,r,u,Raven advanced progressive  matrices,Blank,other,68.25,68.38,Students at umeå university and healthy older adults recruited to newspaper ads.,15 45 min sessions over a period of 5 weeks,"adapted program training numbers, letters, colors and spatial locations",published,18 months after training completion,"pre-post test controlgroup, randomized"
"Dahlin, et al.  2008 comp 2",comparison 2,nRaven advanced progressive  matrices,posttest,0.0600,13,16,1,0.0583,0.3630,untreated,older adults,large,r,u,Raven advanced progressive  matrices,Blank,other,68.25,68.38,Students at umeå university and healthy older adults recruited to newspaper ads.,15 45 min sessions over a period of 5 weeks,"adapted program training numbers, letters, colors and spatial locations",published,18 months after training completion,"pre-post test controlgroup, randomized"
"Dahlin, et al.  2008 comp 2",comparison 2,verbal working memory1,follow up,0.2567,13,7,1,0.2459,0.4507,untreated,older adults,large,r,u,digit span backward ,Blank,other,68.25,68.38,Students at umeå university and healthy older adults recruited to newspaper ads.,15 45 min sessions over a period of 5 weeks,"adapted program training numbers, letters, colors and spatial locations",published,18 months after training completion,"pre-post test controlgroup, randomized"
"Dahlin, et al.  2008 comp 2",comparison 2,verbal working memory1,posttest,0.6045,13,16,1,0.5876,0.3710,untreated,older adults,large,r,u,digit span backward ,Blank,other,68.25,68.38,Students at umeå university and healthy older adults recruited to newspaper ads.,15 45 min sessions over a period of 5 weeks,"adapted program training numbers, letters, colors and spatial locations",published,18 months after training completion,"pre-post test controlgroup, randomized"
"Dahlin, et al.  2008 comp 2",comparison 2,verbal working memory2,follow up,-0.1578,13,7,1,-0.1512,0.4496,untreated,older adults,large,r,u,3-back ,Blank,other,68.25,68.38,Students at umeå university and healthy older adults recruited to newspaper ads.,15 45 min sessions over a period of 5 weeks,"adapted program training numbers, letters, colors and spatial locations",published,18 months after training completion,"pre-post test controlgroup, randomized"
"Dahlin, et al.  2008 comp 2",comparison 2,verbal working memory2,posttest,-0.2004,13,16,1,-0.1948,0.3638,untreated,older adults,large,r,u,3-back ,Blank,other,68.25,68.38,Students at umeå university and healthy older adults recruited to newspaper ads.,15 45 min sessions over a period of 5 weeks,"adapted program training numbers, letters, colors and spatial locations",published,18 months after training completion,"pre-post test controlgroup, randomized"
"Dahlin, et al.  2008 comp 2",comparison 2,verbal working memory3,follow up,0.1727,13,7,1,0.1654,0.4498,untreated,older adults,large,r,u,computation span ,Blank,other,68.25,68.38,Students at umeå university and healthy older adults recruited to newspaper ads.,15 45 min sessions over a period of 5 weeks,"adapted program training numbers, letters, colors and spatial locations",published,18 months after training completion,"pre-post test controlgroup, randomized"
"Dahlin, et al.  2008 comp 2",comparison 2,verbal working memory3,posttest,0.1117,13,16,1,0.1086,0.3632,untreated,older adults,large,r,u,computation span ,Blank,other,68.25,68.38,Students at umeå university and healthy older adults recruited to newspaper ads.,15 45 min sessions over a period of 5 weeks,"adapted program training numbers, letters, colors and spatial locations",published,18 months after training completion,"pre-post test controlgroup, randomized"
"Dunning, et al. 2013 comp 1",Comparison 1 ( E vs AC),aWOND: Math Reasoning,follow up,-0.1305,15,16,1,-0.1271,0.3504,treat,children,large,n,l,WOND: Math Reasoning,Blank,cogmed,8.42,8.42,Children with low WM identified with standard scores at or below the 15th percentile on two tests of the AWMA,20-25 sessions that lasted 30-40 minutes,CogMed (2006),published,Blank,Cluster randomization (schools were randomly assigned to groups); pretest. Double Blind. Pretest-intervention-posttest
"Dunning, et al. 2013 comp 1",Comparison 1 ( E vs AC),aWOND: Math Reasoning,posttest,-0.1037,33,29,1,-0.1024,0.2515,treat,children,large,n,l,WOND: Math Reasoning,Blank,cogmed,8.42,8.42,Children with low WM identified with standard scores at or below the 15th percentile on two tests of the AWMA,20-25 sessions that lasted 30-40 minutes,CogMed (2006),published,Blank,Cluster randomization (schools were randomly assigned to groups); pretest. Double Blind. Pretest-intervention-posttest
"Dunning, et al. 2013 comp 1",Comparison 1 ( E vs AC),aWOND:Number Operations,posttest,-0.2135,33,29,1,-0.2108,0.2520,treat,children,large,n,l,WOND:Number Operations,Blank,cogmed,8.42,8.42,Children with low WM identified with standard scores at or below the 15th percentile on two tests of the AWMA,20-25 sessions that lasted 30-40 minutes,CogMed (2006),published,Blank,Cluster randomization (schools were randomly assigned to groups); pretest. Double Blind. Pretest-intervention-posttest
"Dunning, et al. 2013 comp 1",Comparison 1 ( E vs AC),decoding 1,follow up,-0.0580,14,17,1,-0.0565,0.3516,treat,children,large,n,l,Basic Reading (WORD),Blank,cogmed,8.42,8.42,Children with low WM identified with standard scores at or below the 15th percentile on two tests of the AWMA,20-25 sessions that lasted 30-40 minutes,CogMed (2006),published,Blank,Cluster randomization (schools were randomly assigned to groups); pretest. Double Blind. Pretest-intervention-posttest
"Dunning, et al. 2013 comp 1",Comparison 1 ( E vs AC),decoding 1,posttest,0.2203,34,17,1,0.2169,0.2933,treat,children,large,n,l,Basic Reading (WORD),Blank,cogmed,8.42,8.42,Children with low WM identified with standard scores at or below the 15th percentile on two tests of the AWMA,20-25 sessions that lasted 30-40 minutes,CogMed (2006),published,Blank,Cluster randomization (schools were randomly assigned to groups); pretest. Double Blind. Pretest-intervention-posttest
"Dunning, et al. 2013 comp 1",Comparison 1 ( E vs AC),decoding 2,follow up,-0.1861,14,17,1,-0.1813,0.3522,treat,children,large,n,l,NARA: Reading Accuracy,Blank,cogmed,8.42,8.42,Children with low WM identified with standard scores at or below the 15th percentile on two tests of the AWMA,20-25 sessions that lasted 30-40 minutes,CogMed (2006),published,Blank,Cluster randomization (schools were randomly assigned to groups); pretest. Double Blind. Pretest-intervention-posttest
"Dunning, et al. 2013 comp 1",Comparison 1 ( E vs AC),decoding 2,posttest,0.0135,30,28,1,0.0133,0.2592,treat,children,large,n,l,NARA: Reading Accuracy,Blank,cogmed,8.42,8.42,Children with low WM identified with standard scores at or below the 15th percentile on two tests of the AWMA,20-25 sessions that lasted 30-40 minutes,CogMed (2006),published,Blank,Cluster randomization (schools were randomly assigned to groups); pretest. Double Blind. Pretest-intervention-posttest
"Dunning, et al. 2013 comp 1",Comparison 1 ( E vs AC),decoding 3,follow up,-0.6907,14,17,1,-0.6727,0.3617,treat,children,large,n,l,NARA: Reading Rate,Blank,cogmed,8.42,8.42,Children with low WM identified with standard scores at or below the 15th percentile on two tests of the AWMA,20-25 sessions that lasted 30-40 minutes,CogMed (2006),published,Blank,Cluster randomization (schools were randomly assigned to groups); pretest. Double Blind. Pretest-intervention-posttest
